SourceNmae,TargetName,SourceID,TargetID,CosSim
Alabama,Illinois,0,12,0.9942298003165264
Alabama,Ohio,0,34,0.9799200655574704
Alabama,North Carolina,0,32,0.9799035847088975
Alaska,Montana,1,25,0.980753253636962
Alaska,North Dakota,1,33,0.9791109937180984
Alaska,South Dakota,1,40,0.9778964291017539
Arizona,Washington,2,46,0.9932476458910802
Arizona,New Mexico,2,30,0.9916997018383605
Arizona,Oregon,2,36,0.9565310867357832
Arkansas,Pennsylvania,3,37,0.9876472894211038
Arkansas,Illinois,3,12,0.9843774842738734
Arkansas,Alabama,3,0,0.9761802148424409
California,Arizona,4,2,0.8917113372004163
California,New York,4,31,0.8619681937365351
California,North Carolina,4,32,0.8516127348515092
Colorado,Kansas,5,15,0.977039531074321
Colorado,Nebraska,5,26,0.9600360998130911
Colorado,New Hampshire,5,28,0.9598948062423716
Connecticut,Massachusetts,6,20,0.9946165240783105
Connecticut,Maryland,6,19,0.9741967622156907
Connecticut,Delaware,6,7,0.9649592589905316
Delaware,Maryland,7,19,0.9756375856075901
Delaware,Massachusetts,7,20,0.9696601793410227
Delaware,Connecticut,7,6,0.9649592589905316
Florida,Louisiana,8,17,0.9597580002739902
Florida,Kentucky,8,16,0.9484734713054271
Florida,New York,8,31,0.9287534126137456
Georgia,Tennessee,9,41,0.9926869943072182
Georgia,North Carolina,9,32,0.9909757033918085
Georgia,Alabama,9,0,0.9604228086778366
Hawaii,Wyoming,10,49,0.9807385814246004
Hawaii,Washington,10,46,0.9787725550922224
Hawaii,Nevada,10,27,0.9759128924667879
Idaho,Montana,11,25,0.9938116491914595
Idaho,Wyoming,11,49,0.9795120091787235
Idaho,Nevada,11,27,0.9736878877816537
Illinois,Alabama,12,0,0.9942298003165264
Illinois,Michigan,12,21,0.9887610876569057
Illinois,Indiana,12,13,0.9861024127290817
Indiana,Illinois,13,12,0.9861024127290817
Indiana,Virginia,13,45,0.9806421459102603
Indiana,Alabama,13,0,0.9795351027505808
Iowa,Minnesota,14,22,0.9976365563445496
Iowa,Nebraska,14,26,0.9920554821151545
Iowa,New Hampshire,14,28,0.9862322565023343
Kansas,Iowa,15,14,0.9785783903743751
Kansas,Colorado,15,5,0.977039531074321
Kansas,Minnesota,15,22,0.9756376440605296
Kentucky,Alabama,16,0,0.9764033725390463
Kentucky,North Carolina,16,32,0.9745764568013108
Kentucky,Ohio,16,34,0.9720397671220615
Louisiana,Mississippi,17,23,0.9616689855381797
Louisiana,Florida,17,8,0.9597580002739902
Louisiana,Kentucky,17,16,0.8972704987951491
Maine,Vermont,18,44,0.9710428777819891
Maine,Hawaii,18,10,0.944787475464361
Maine,Oregon,18,36,0.9300860827142574
Maryland,South Carolina,19,39,0.9824299576452102
Maryland,Massachusetts,19,20,0.9775736423028936
Maryland,Delaware,19,7,0.9756375856075901
Massachusetts,Connecticut,20,6,0.9946165240783105
Massachusetts,Maryland,20,19,0.9775736423028936
Massachusetts,Delaware,20,7,0.9696601793410227
Michigan,Illinois,21,12,0.9887610876569057
Michigan,Wisconsin,21,48,0.9724970129259357
Michigan,Alabama,21,0,0.9722171643112852
Minnesota,Iowa,22,14,0.9976365563445496
Minnesota,Nebraska,22,26,0.9953424688186127
Minnesota,Wisconsin,22,48,0.9883741205683931
Mississippi,Louisiana,23,17,0.9616689855381797
Mississippi,Florida,23,8,0.8593627278339022
Mississippi,New York,23,31,0.7920873992661167
Missouri,South Carolina,24,39,0.9766806569994654
Missouri,Kansas,24,15,0.9666143621435213
Missouri,Virginia,24,45,0.966569359860378
Montana,Idaho,25,11,0.9938116491914595
Montana,Wyoming,25,49,0.9813827807000626
Montana,Alaska,25,1,0.980753253636962
Nebraska,Minnesota,26,22,0.9953424688186127
Nebraska,New Hampshire,26,28,0.9934546576861344
Nebraska,Iowa,26,14,0.9920554821151545
Nevada,Hawaii,27,10,0.9759128924667879
Nevada,Idaho,27,11,0.9736878877816537
Nevada,New Mexico,27,30,0.9715495568119931
New Hampshire,Nebraska,28,26,0.9934546576861344
New Hampshire,Minnesota,28,22,0.9871986218552007
New Hampshire,Iowa,28,14,0.9862322565023343
New Jersey,Rhode Island,29,38,0.9543915991768875
New Jersey,Massachusetts,29,20,0.9405968521558726
New Jersey,Delaware,29,7,0.9359292181677544
New Mexico,Washington,30,46,0.9959792033437795
New Mexico,Arizona,30,2,0.9916997018383605
New Mexico,Hawaii,30,10,0.975434544541511
New York,Pennsylvania,31,37,0.9838166430754337
New York,North Carolina,31,32,0.9769400285146176
New York,Kentucky,31,16,0.9710311038007325
North Carolina,Georgia,32,9,0.9909757033918085
North Carolina,Tennessee,32,41,0.9829111176474725
North Carolina,Alabama,32,0,0.9799035847088975
North Dakota,South Dakota,33,40,0.9954676362151786
North Dakota,Alaska,33,1,0.9791109937180984
North Dakota,Nebraska,33,26,0.971017412595568
Ohio,Alabama,34,0,0.9799200655574704
Ohio,Kentucky,34,16,0.9720397671220615
Ohio,Illinois,34,12,0.9587525322150854
Oklahoma,Iowa,35,14,0.9702536845202782
Oklahoma,Minnesota,35,22,0.9683804691123767
Oklahoma,Indiana,35,13,0.968074251353963
Oregon,Hawaii,36,10,0.9652962240221294
Oregon,Washington,36,46,0.9641903790017903
Oregon,Arizona,36,2,0.9565310867357832
Pennsylvania,Arkansas,37,3,0.9876472894211038
Pennsylvania,New York,37,31,0.9838166430754337
Pennsylvania,Illinois,37,12,0.970985145240279
Rhode Island,Connecticut,38,6,0.9639641690925622
Rhode Island,Massachusetts,38,20,0.9636817114826342
Rhode Island,New Jersey,38,29,0.9543915991768875
South Carolina,Virginia,39,45,0.9838698599008783
South Carolina,Maryland,39,19,0.9824299576452102
South Carolina,Indiana,39,13,0.9790797427558865
South Dakota,North Dakota,40,33,0.9954676362151786
South Dakota,Utah,40,43,0.9837050636248452
South Dakota,Alaska,40,1,0.9778964291017539
Tennessee,Georgia,41,9,0.9926869943072182
Tennessee,North Carolina,41,32,0.9829111176474725
Tennessee,South Carolina,41,39,0.9533369815594539
Texas,Florida,42,8,0.9130356492900784
Texas,Ohio,42,34,0.8918919352844292
Texas,Michigan,42,21,0.8755818537016851
Utah,South Dakota,43,40,0.9837050636248452
Utah,Washington,43,46,0.9725845718463346
Utah,New Mexico,43,30,0.9717408549214875
Vermont,Maine,44,18,0.9710428777819891
Vermont,Oregon,44,36,0.8558682387317914
Vermont,Hawaii,44,10,0.8438703302157305
Virginia,South Carolina,45,39,0.9838698599008783
Virginia,Indiana,45,13,0.9806421459102603
Virginia,Maryland,45,19,0.9720387932451522
Washington,New Mexico,46,30,0.9959792033437795
Washington,Arizona,46,2,0.9932476458910802
Washington,Hawaii,46,10,0.9787725550922224
West Virginia,Nevada,47,27,0.9390882324712252
West Virginia,Hawaii,47,10,0.9000445499221139
West Virginia,Idaho,47,11,0.8866929271604906
Wisconsin,Minnesota,48,22,0.9883741205683931
Wisconsin,Iowa,48,14,0.9821006434326682
Wisconsin,New Hampshire,48,28,0.9773973024928478
Wyoming,Montana,49,25,0.9813827807000626
Wyoming,Hawaii,49,10,0.9807385814246004
Wyoming,Idaho,49,11,0.9795120091787235
