year,gas_price
1990,1.3056666666666665
1991,1.0951818181818183
1992,1.0857500000000002
1993,1.0670833333333334
1994,1.0744166666666666
1995,1.1096666666666666
1996,1.1990833333333335
1997,1.1996666666666667
1998,1.0299166666666666
1999,1.1350833333333332
2000,1.4854166666666668
2001,1.426
2002,1.3403333333333336
2003,1.5591666666666668
2004,1.84875
2005,2.2681666666666667
2006,2.5691666666666664
2007,2.7985833333333336
2008,3.2518333333333334
2009,2.3435
2010,2.7803333333333335
2011,3.5209166666666665
2012,3.625
2013,3.5059166666666672
2014,3.3631666666666664
2015,2.4221666666666666
2016,2.1458333333333335
2017,2.417
2018,2.755454545454545
