state,price
Alaska,3.25
Alabama,2.2
Arkansas,2.22
Arizona,2.82
California,3.56
Colorado,2.61
Connecticut,2.79
District of Columbia,2.77
Delaware,2.21
Florida,2.36
Georgia,2.32
Hawaii,3.69
Iowa,2.24
Idaho,2.94
Illinois,2.41
Indiana,2.26
Kansas,2.21
Kentucky,2.2
Louisiana,2.19
Massachusetts,2.69
Maryland,2.38
Maine,2.51
Michigan,2.31
Minnesota,2.4
Missouri,2.11
Mississippi,2.19
Montana,2.8
North Carolina,2.39
North Dakota,2.52
Nebraska,2.32
New Hampshire,2.57
New Jersey,2.55
New Mexico,2.45
Nevada,3.16
New York,2.8
Ohio,2.18
Oklahoma,2.17
Oregon,3.14
Pennsylvania,2.71
Rhode Island,2.65
South Carolina,2.16
South Dakota,2.51
Tennessee,2.27
Texas,2.18
Utah,2.89
Virginia,2.3
Vermont,2.74
Washington,3.32
Wisconsin,2.38
West Virginia,2.59
Wyoming,2.86
