state,pop_density
Alabama,92.7
Alaska,1.1
Arizona,59.9
Arkansas,56
California,239.1
Colorado,52.4
Connecticut,647.8
Delaware,380.1
Florida,308.3
Georgia,171.9
Hawaii,131
Idaho,19.8
Illinois,222.1
Indiana,181.8
Iowa,55.5
Kansas,35.4
Kentucky,109.5
Louisiana,89.2
Maine,37.6
Maryland,484.2
Massachusetts,643.8
Michigan,102.6
Minnesota,63.1
Mississippi,61.8
Missouri,87.3
Montana,7
Nebraska,24.5
Nevada,26.1
New Hampshire,142.3
New Jersey,1027
New Mexico,17.1
New York,362.9
North Carolina,186.6
North Dakota,10.7
Ohio,259.1
Oklahoma,56
Oregon,41
Pennsylvania,278
Rhode Island,683.7
South Carolina,152.9
South Dakota,11.1
Tennessee,156.6
Texas,102.3
Utah,35.3
Vermont,65.1
Virginia,196
Washington,100.6
West Virginia,76.1
Wisconsin,88.1
Wyoming,6
